name_ar,name_fr,name_en,wilaya_code,phone,fax,email,communes,source
غليزان,,غليزان,48,046 71 63 83,046 71 63 82,,"4801,4835",legacy
مازونة,,مازونة,48,046 94 73 80,046 94 82 27,,"4815,4822",legacy
منداس,,منداس,48,046 86 01 60,046 86 05 71,,"4806,4820,4828",legacy
وادي رهيو,,وادي رهيو,48,046 78 80 54,046 78 80 51,,"4802,4821,4829,4837",legacy
يلل,,يلل,48,046 81 00 98,046 81 01 02,,"4804,4823,4824,4825",legacy
أوقروت,,أوقروت,49,049 90 88 22,049 90 84 82,daira0123@gmail.com,"4906,4907,4908",legacy
تنركوك,,تنركوك,49,049 30 91 49,049 90 94 76,tinerkoukdaira@gmail.com,"4903,4905",legacy
تيميمون,,تيميمون,49,049 30 01 58,049 34 80 31,dairatimioun@gmail.com,"4901,4904",legacy
شروين,,شروين,49,049 90 62 52,049 90 62 68,dairacharouine0103@gmail.com,"4902,4909,4910",legacy
برج باجي مختار,,برج باجي مختار,50,049 32 97 56,049 32 98 58,bbmdaira0125@gmail.com,"5001,5002",legacy
أولاد جلال,,أولاد جلال,51,033.66.32.83/033-66-32-84,033.66.33.46/033-66-32-92,ca.ouleddjellal@gmail.com,"5101,5106,5105",legacy
سيدي خالد,,سيدي خالد,51,033-67-94-53/033-67-94-54,033-67-99-36/033-67-99-37,dairask07@gmail/com,"5103,5104,5102",legacy
القنادسة,,القنادسة,52,049-24-13-13,049-24-14-93,,,legacy
بني عباس,,بني عباس,52,049-28-47-71,049-27-08-55,,"5201,5202",legacy
بني ونيف,,بني ونيف,52,049 25 17 07,049 25 17 06,dairabeniounif@gmail.com,,legacy
عين صالح,,عين صالح,53,029 38 54  46,029 38 54 47,,"5301,5303",legacy
عين قزام,,عين قزام,54,029 35 42 91,029 35 45 82,,5401,legacy
الطيبات,,الطيبات,55,029 61 16 92,029 61 13 51,,"5509,5510,5508",legacy
المقارين,,المقارين,55,029 62 81 97/029 62 82 07,029 62 82 06,,"5511,5507",legacy
تقرت,,تقرت,55,029 68 13 13,029 68 23 25,,"5503,5502,5504,5501",legacy
جانت,,جانت,56,029 48 55 70,029 48 55 71/029 47 64 72,,"5601,5602",legacy
المغير,,المغير,57,032.19.41.42,032.19.41.39,,"5703,5704,5701,5702",legacy
جامعة,,جامعة,57,032.15.60.09,032.25.70.37,,"5708,5707,5705,5706",legacy
المنيعة,,المنيعة,58,029 21 10 96,029 21 10 93,,"5801,5802",legacy
